ID,UNIDADE,CONVENIADA,MUNICIPIO,PROGRAMA,AÇÃO,OBJETO,NUMERO,INI,FIM,VL.CONVENIO,VL.CONTRAPARTE
146,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE JUARA,JUARA,Aquisição de Emulsão Asfáltica RL-1C. Emenda n.º 281/2016 (Oscar Bezerra).,390,3117,0571-2016,01/07/2016,26/12/2017,189557,20442
151,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE JURUENA,JURUENA,RECUPERAÇÃO DE VIAS URBANAS NO MUNICÍPIO DE JURUENA: AVENIDA 4 DE JULHO. AVENIDA TANCREDO NEVES. RUA ORLANDO JOSÉ DA SILVA E AVENIDA DOS TRABALHADORES. Emenda n.º 281/2016 - Oscar Bezerra.,390,3117,0392-2016,23/06/2016,28/11/2017,75000,3000
159,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE MIRASSOL DOESTE,MIRASSOL D`OESTE,AQUISIÇÃO DE MATERIAL PARA OBRAS DE PAVIMENTAÇÃO ASFALTICA NO MUNICÍPIO DE MIRASSOL D OESTE MT. Emenda Parlamentar nº 165/2016,390,3117,0317-2016,09/06/2016,31/12/2017,400000,10487
165,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE NOBRES,NOBRES,Requalificação do posto de saúde rural do Distrito de Bom Jardim. Emenda n.º 411/2016 (Guilherme Maluf).,390,5168,0484-2016,08/07/2016,20/10/2017,150298,12257
168,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE NORTELÂNDIA,NORTELÂNDIA,Recomposição de Pavimento nas Ruas Tiradentes Rua Rodolfo R. da Silva Av. Pedro PedrosianRua Antonio de Oliveira e Rua Cuiabá no município de Nortelândia-MT. Emenda parlamentar nº 55-2016.,390,5168,0278-2016,16/05/2016,01/04/2018,290000,9959
179,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE NOVA CANAÃ DO NORTE,NOVA CANAÃ DO NORTE,PROJETO EXECUTIVO DE ENGENHARIA DE PAVIMENTAÇÃO EM TSD NO MUNICÍPIO DE NOVA CANAÃ DO NORTE - MT. Emenda n.º 243/2016 - Emanuel Pínheiro.,390,3117,0260-2016,29/06/2016,15/01/2018,250000,63146
182,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE NOVA GUARITA,NOVA GUARITA,Aquisição de Material para Lama Asfáltica (RL1C). Emenda 98 Dep. Nininho,390,3117,0420-2016,16/06/2016,31/12/2017,235000,73967
190,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE NOVA OLÍMPIA,NOVA OLÍMPIA,Pavimentação Asfáltica em Vias Urbanas em Nova Olímpia-MT. Emenda n.º 136/2016 - Wagner Ramos,390,3117,0426-2016,17/06/2016,31/12/2017,400519,30443
191,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE NOVA OLÍMPIA,NOVA OLÍMPIA,Recuperação de Pavimento Asfáltico (Lama Asfáltica) no município de Nova Olímpia. Emenda n.º 253/2016 - Saturnino Masson.,390,3117,0427-2016,17/06/2016,31/12/2017,300000,6403
192,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE NOVA OLÍMPIA,NOVA OLÍMPIA,Recuperação de Pavimento Asfáltico (Lama Asfáltica) na RUA MARCOS FREIRE RUA JOSÉ SALGUEIRO RUA MARIA IZABEL DE JESUS RUA TIRADENTES RUA PRESIDENTE DURTRA RUA CARLOS D. ANDRADE no município de Nova Olímpia. Emenda Parlamentar n.º 76/2016 - Sebastião Rezende.,390,3117,0428-2016,17/06/2016,31/12/2017,100000,3777
193,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE NOVA UBIRATÃ,NOVA UBIRATÃ,Revitalização da Praça do Ginásio Jonas Pinheiro Paisagismo Edificações de Banheiro Público e Pista de Skate no Municpio de Nova Ubiratã. Emenda Parlamentar nº 88/2016 Dep. Dilmar Dal Bosco,390,5168,1356-2016,29/12/2016,22/12/2017,105000,134894
194,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE NOVA UBIRATÃ,NOVA UBIRATÃ,Construção de Barracão para a Quadra de Esportes no Distrito de Santa Terezinha no Municipio de Nova Ubiratã. Emenda parlamentar nº 11/2016 Dep. José Domingos.,390,5168,1379-2016,22/12/2016,22/12/2017,80000,72220
199,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE NOVO HORIZONTE DO NORTE,NOVO HORIZONTE DO NORTE,Execução de Pavimentação em TSD nas ruas Adalto Ferreira Lima e Iguaçu no município de Novo Horizonte do Norte - MT. Emenda Parlamentar nº 281 Dep. Oscar Bezerra.,390,3117,0259-2016,19/12/2016,16/12/2017,147000,3000
201,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE NOVO MUNDO,NOVO MUNDO,PAVIMENTAÇÃO ASFÁLTICA E CALÇAMENTO DAS RUAS ESMERALDA RUBI PONE E TURMALINA NO MUNICÍPIO DE NOVO MUNDO/MT. Emenda n.º 131 - Pedro Satélite.,390,3117,0673-2016,30/06/2016,27/10/2017,300000,10611
202,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE NOVO MUNDO,NOVO MUNDO,EXECUÇÃO DE PAVIMENTAÇÃO ASFÁLTICA SINALIZAÇÃO VIÁRIA E PASSEIO PÚBLICO. Emenda n.º 131/2016 - Pedro Satélite.,390,3117,0674-2016,29/06/2016,27/10/2017,300000,5617
209,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE PEIXOTO DE AZEVEDO,PEIXOTO DE AZEVEDO,AQUISIÇÃO DE MATERIAL BETUMINOSO PARA CONSERVAÇÃO ASFÁLTICA. Emenda n.º 88/2016 - Dilmar Dal Bosco.,390,3117,1084-2016,01/07/2016,02/05/2018,75000,189618
223,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE PONTES E LACERDA,PONTES E LACERDA,Pavimentação Asfáltica e Drenagem Superficial no Bairro Residencial Glória neste Município. Emenda Parlamentar nº 110/2016 Dep. Max Russi e nº 165/2016 Dep. Wancley Carvalho.,390,3117,0294-2016,28/12/2016,31/12/2017,391955,250173
227,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE PORTO ALEGRE DO NORTE,PORTO ALEGRE DO NORTE,Construção de Iluminação do Campo de Futebol Gezil Araujo no Município de Porto Alegre do Norte. Emenda Parlamentar Baiano Filho.,390,5168,0438-2016,09/11/2016,09/11/2017,100000,4375
228,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE PORTO ALEGRE DO NORTE,PORTO ALEGRE DO NORTE,Pavimentação Asfáltica Com Tratamento Superficial Duplo (TSD) e Capa Selante no Município de Porto Alegre do Norte - MT. Emenda Parlamentar n° 196/2016 (Baiano Filho).,390,3117,0436-2016,01/07/2016,29/10/2017,100000,6830
234,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE POXORÉU,POXORÉU,AQUISIÇÃO DE MATERIAIS PARA LAMA ASFÁLTICA NO BAIRRO JARDIM POXORÉU E JARDIM TROPICAL. Emenda Parlamentar nº 198 Dep. Baiano Filho.,390,3117,0491-2016,01/07/2016,28/12/2017,100000,10000
235,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE POXORÉU,POXORÉU,AQUISIÇÃO DE MATERIAL BETUMINOSO E AGREGADOS PARA PAVIMENTAÇÃO EM TSD (AGREGADOS E EMULSÃO) PARA VIAS URBANAS NO DISTRITO DE JARUDORE E COMUNIDADE DE JOANESBURG NO MUNICÍPIO DE POXORÉU MT. Emenda n.º 98/2016 - Nininho.,390,3117,0493-2016,01/07/2016,07/12/2017,150000,15000
259,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE SANTO ANTONIO DO LESTE,SANTO ANTÔNIO DO LESTE,CONSTRUÇÃO DE CAMPO DE FUTEBOL SOCIETY EM SANTO ANTONIO DO LESTE - MT. Emenda Parlamentar nº 110 Dep. Max Russi,390,5168,0159-2016,02/12/2016,31/12/2017,134400,5783
266,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE SÃO JOSÉ DO RIO CLARO,SÃO JOSÉ DO RIO CLARO,Material betuminoso para pavimentação de diversas ruas no Bairro Progresso no Município de São José do Rio Claro. Emenda n.º 11/2016 - José Domingos Fraga.,390,3117,0399-2016,15/06/2016,13/10/2017,100000,75358
267,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE SÃO JOSÉ DO RIO CLARO,SÃO JOSÉ DO RIO CLARO,Material Betuminoso para Pavimentação da Avenida Brianorte no Município de São José do Rio Claro. Emenda Parlamentar n.º 281/2016 -Oscar Bezerra.,390,3117,0462-2016,15/06/2016,12/11/2017,100000,60363
283,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE SAPEZAL,SAPEZAL,Aquisição de Material para Obras de Pavimentação Asfáltica - EMENDA nº136/2016 DEPUTADO WAGNER RAMOS.,390,3117,0519-2016,10/06/2016,31/12/2017,200000,216017
296,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE TABAPORÃ,TABAPORÃ,1 ª ETAPA - PAVIMENTAÇÃO DA AVENIDA DOS PRIMEIROS NO NÚCLEO URBANO DO P.A DA GLEBA MERCEDES I E II NO MUNICÍPIO DE TABAPORÃ/MT. Emenda n.º 36/2016 - Silvano Amaral.,390,3117,0270-2016,22/06/2016,17/06/2018,100000,5000
297,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE TABAPORÃ,TABAPORÃ,2 ª ETAPA - PAVIMENTAÇÃO DA AVENIDA DOS PRIMEIROS NO NUCLEO URBANO DO P.A DA GLEBA MERCEDES I E II NO MUNICIPIO DE TABAPORÃ/MT. Emenda Parlamentar nº 92/2016 - Janaína Riva,390,3117,0273-2016,22/06/2016,17/06/2018,200000,10000
299,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE TABAPORÃ,TABAPORÃ,Recuperação de Pavimento com RL-1C em 10.31577 m² de ruas no município de Tabaporã - MT. Emenda n.º 281/2016 - Deputado Oscar Bezerra.,390,3117,0425-2016,12/06/2016,07/06/2018,90000,5001
307,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE TANGARÁ DA SERRA,TANGARÁ DA SERRA,Elaboração de projetos e execução de obra para estruturação do Aeroporto Municipal de Tangará da Serra - MT. Emenda Parlamentar nº 253/2016 Dep. Saturnino Masson e nº 136/2016 Dep. Wagner Ramos.,390,5168,0878-2016,28/12/2016,31/12/2017,564316,23513
322,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE VÁRZEA GRANDE,VÁRZEA GRANDE,Pavimentação asfáltica tipo TSD com capa selante e galeria pluvial em diversas ruas do bairro Nilda de Paula no município de Várzea Grande-MT. Emenda Parlamentar nº 76/2016 Dep. Sebastião Rezende,390,3117,1111-2016,28/12/2016,20/12/2017,486159,486159
